Student,LPIPS,SSIM
113590043.png,0.0,1.0
113590025.png,0.0730941891670227,0.9100224530021452
111590042.png,0.13327106833457947,0.9219268547528889
113590047.png,0.15811732411384583,0.8681816613983978
111590047.png,0.3209266662597656,0.7736803836963216
113590026.png,0.3490017056465149,0.7517244605046098
113370239.png,0.35646337270736694,0.7482476428995362
113590010.png,0.36430907249450684,0.696085886822663
113590051.png,0.3693225681781769,0.7469245661059384
112590455.png,0.3810228705406189,0.7288756705058957
113590001.png,0.38310593366622925,0.7049070927056235
111590028.png,0.3903139531612396,0.7713678022092291
113590015.png,0.40954557061195374,0.711510865709731
112590454.png,0.4184010624885559,0.705102611676858
113590052.png,0.4207797050476074,0.7011672774901129
113590021.png,0.4307073950767517,0.6769262413513094
114054809.png,0.44005560874938965,0.7315073255427652
113590022.png,0.44413381814956665,0.7019181355160021
113590042.png,0.4524337351322174,0.6653932957448665
113590045.png,0.461859792470932,0.6477262783791911
113590057.png,0.4626319110393524,0.68675407992914
113AC1012.png,0.46415650844573975,0.7121793237031383
113590028.png,0.47476041316986084,0.647950228323067
113590002.png,0.4879407584667206,0.6595673846935781
113590018.png,0.4981555640697479,0.6630848550762979
113590011.png,0.5019031763076782,0.65450107826041
111590455.png,0.5339455008506775,0.6151622362032965
113590049.png,0.5685194730758667,0.5322952857342312
